id	title	date	time	city	location	kategorie	url	description	endDate
wochenmarkt-bocholt-2026-02-03	Bocholter Wochenmarkt	2026-02-03	08:00–13:00	Bocholt	Markt / Gasthausplatz (Innenstadt)	Märkte & Feste	https://www.bocholt.de/markt	Wochenmarkt mit regionalen Händlern (Obst/Gemüse, Brot, Käse, Fisch u. a.).	
bretagne-land-im-meer-2026-02-04	BRETAGNE – Land im Meer	2026-02-04	19:30–22:00	Bocholt	Städtische Gesamtschule Bocholt	Kultur & Kunst	https://www.bocholt.de/veranstaltungskalender/bretagne-land-im-meer	Multivisionsvortrag über die Bretagne mit Bild, Musik und Live-Kommentar.	
livehautnah-martin-kroner-2026-02-04	LIVE&HAUTNAH: Martin Kroner	2026-02-04	20:00–22:00	Bocholt	Kulturort Alte Molkerei	Musik & Bühne	https://alte-molkerei.info/event/livehautnah-martin-kroner/	Konzertabend im Rahmen „Live & Hautnah“.	
wochenmarkt-bocholt-2026-02-05	Bocholter Wochenmarkt	2026-02-05	08:00–13:00	Bocholt	Markt / Gasthausplatz (Innenstadt)	Märkte & Feste	https://www.bocholt.de/markt	Wochenmarkt mit regionalen Händlern (Obst/Gemüse, Brot, Käse, Fisch u. a.).	
violine-und-cello-im-dialog-2026-02-05	Violine und Cello im Dialog	2026-02-05	19:30	Bocholt	Veranstaltungssaal im LernWerk, Industriestr. 1	Musik & Bühne	https://www.stadttheater-bocholt.de/programm/violine-und-cello-im-dialog/	Kammermusikabend für Violine und Violoncello.	
bocholt-2026-01-30-sparkasse-on-ice	Sparkasse on Ice (Eislaufbahn Neutorplatz)	2026-01-30	15:00	Bocholt	Neutorplatz, Bocholt	Innenstadt & Leben	https://www.bocholt.de/veranstaltungskalender	Saisonale Eislaufbahn am Neutorplatz	2026-02-01
